nm, counts
198.39388542422043, 54.774999999999864
198.44902102973168, 220.34285714285693
198.4364902102973, 177.625
198.4364902102973, 147.92499999999995
198.4364902102973, 118.22499999999991
198.4364902102973, 88.52499999999986
198.54425525743292, 413.875
198.49914430746918, 372.02499999999986
198.49914430746918, 342.32500000000005
198.49914430746918, 312.625
198.49914430746918, 282.92499999999995
198.49914430746918, 253.2249999999999
198.61609862218998, 525.925
198.61192168237852, 490.82500000000005
198.61192168237852, 461.125
198.59939086294415, 444.92499999999995
198.8500072516316, 627.715
198.72469905728786, 575.875
198.86253807106598, 689.95
198.8500072516316, 655.525
199.02543872371282, 604.225
199.02543872371282, 574.525
199.02543872371282, 546.175
199.26770123277737, 500.04999999999995
199.51664684554024, 491.905
199.70627991298042, 485.42499999999995
199.88066715010876, 508.375
200.0613197969543, 560.5749999999999
200.1469470630892, 527.275
200.21085424220448, 504.46000000000004
200.5241247280638, 475.7950000000001
200.67950688905003, 481.375
201.03454677302392, 514.675
201.13061638868743, 525.925
201.5107179115301, 523.225
201.66317621464827, 558.325
201.99620683884643, 572.7596153846155
202.2991153009427, 569.4625
202.54910514865844, 585.865
203.0353009427121, 578.9703571428572
203.45060810110846, 590.9178571428571
203.74955765047133, 575.875
203.93035947373872, 578.575
204.10355329949238, 549.2500000000001
204.23467937428777, 591.3035714285714
204.5515300942712, 667.6750000000001
204.53899927483684, 619.075
204.66430746918056, 695.6392857142857
204.97757795503986, 801.1562500000001
204.91492385786802, 756.7750000000001
205.1968672951414, 900.2125000000001
205.1404786076867, 858.0250000000001
205.1404786076867, 829.6750000000001
205.3785641769398, 1055.4625
205.31591007976795, 1011.9250000000001
205.31591007976795, 982.2250000000001
205.31591007976795, 952.5250000000001
205.31591007976795, 922.825
205.49635387962292, 1097.785
205.6041189267585, 1194.8500000000001
205.55399564902103, 1152.3250000000003
205.55399564902103, 1122.625
205.76701957940534, 1234.1350000000002
205.76701957940534, 1394.6307142857145
205.77955039883972, 1361.5750000000003
205.77955039883972, 1331.8750000000002
205.77955039883972, 1302.1750000000002
205.77955039883972, 1272.4750000000001
206.04269760696155, 1166.3650000000002
206.0376852791878, 1134.775
205.9675126903553, 1108.0750000000003
205.97252501812906, 1078.525
205.96960116026105, 1037.2375000000002
206.04269760696155, 1187.4250000000002
206.19724437998548, 1141.3000000000002
206.19306744017402, 1173.9250000000002
206.19306744017402, 1101.7
206.27660623640318, 1072.2250000000001
206.31837563451776, 1030.825
206.31837563451776, 1001.1250000000001
206.31837563451776, 971.4250000000001
206.31837563451776, 943.075
206.41862218999273, 909.325
206.41862218999273, 879.6250000000001
206.41862218999273, 849.9250000000001
206.41862218999273, 820.225
206.41862218999273, 790.5250000000001
206.42697606961565, 744.625
206.54393038433648, 717.625
206.63791153009427, 604.225
206.91150108774474, 570.025
206.99503988397387, 554.95
207.22596498497876, 585.9035714285715
207.19553299492384, 554.275
207.4962726613488, 580.4200000000001
207.89224655547497, 565.615
208.14071480368796, 560.5910714285715
208.36925308194344, 556.8625
208.71315445975344, 535.225
208.96989702683103, 549.6850000000001
209.26938361131255, 553.2625
209.48031907179114, 565.75
209.7016968817984, 570.6999999999999
210.24768258572465, 538.2678571428571
210.69789702683101, 534.7
210.9861058738216, 528.45625
210.92971718636693, 555.625
211.09679477882523, 499.5999999999999
211.3056417693981, 538.75
211.6397969543147, 552.925
211.81940536620738, 557.65
212.07698332124727, 515.9950000000001
212.23292240754168, 525.925
212.39112400290065, 598.96
212.39999999999998, 581.275
212.83798197451569, 585.7107142857144
213.08501812907903, 615.025
213.25418419144307, 653.1625
213.385757795504, 674.0392857142857
213.4525888324873, 730.2250000000001
213.53612762871646, 893.1250000000001
213.53612762871646, 863.4250000000001
213.53612762871646, 833.725
213.53612762871646, 804.0250000000001
213.53612762871646, 762.85
213.75854967367655, 952.28875
213.8368672951414, 898.5250000000001
213.94964467005076, 855.325
213.91518491660622, 827.81875
213.8744597534445, 804.7
214.18773023930385, 934.1650000000001
214.22532269760694, 854.2
214.18773023930385, 900.325
214.31303843364756, 804.0250000000001
214.31303843364756, 766.225
214.37151559100795, 730.2250000000001
214.42999274836836, 697.825
214.5051776649746, 655.4250000000001
214.50100072516315, 617.725
214.4968237853517, 582.175
214.66891370558375, 556.165
214.82680203045683, 529.3723214285715
214.96965337200868, 602.335
214.9395794053662, 569.125
215.11501087744742, 529.075
215.36204703201076, 517.825
215.64130529369106, 542.8
215.92951414068165, 544.825
216.0736185641769, 513.775
216.1787382160986, 544.75
216.46833937635967, 522.4535714285714
216.48087019579404, 499.26250000000005
216.7583383404123, 538.4607142857144
216.98210297316894, 529.975
217.3997969543147, 525.925
217.62117476432195, 539.7249999999999
218.0252936910805, 535.7125
218.2254387237128, 557.4250000000001
218.27277737490934, 527.275
218.55919610483787, 569.8964285714286
218.86799129804206, 559.84375
219.04968817984044, 534.025
219.18335025380708, 586
219.2000580130529, 563.05
219.5759825960841, 569.0022727272727
219.88298767222625, 563.725
220.11063089195068, 565.5250000000001
220.06468455402464, 606.25
220.39048585931835, 586.675
220.6178307261991, 570.6678571428571
220.7726758520667, 596.125
221.0128498912255, 559.2249999999999
221.00950833937634, 525.205
221.16489050036256, 595.585
221.53079042784626, 570.1750000000001
221.85380710659896, 591.025
222.0971834662799, 568.99
222.41797244379984, 567.775
222.64916606236403, 560.0125
222.7149528643945, 534.3625
222.99940246555474, 527.4485714285715
222.9843654822335, 556.975
223.30181290790426, 527.95
223.42294416243652, 532
223.64963807765838, 490.9477272727272
223.88658448150832, 501.17499999999995
224.232435097897, 519.7149999999999
224.36902102973167, 485.0875000000001
224.68855692530818, 473.8535714285715
224.88905003625814, 478.67499999999995
225.20858593183465, 505.3375000000001
225.46045540246553, 496.60299999999984
225.77372588832486, 495.145
225.8413923132705, 534.025
226.00429296591733, 637.03
226.01682378535168, 592.9749999999999
226.12960116026105, 555.625
226.12960116026105, 525.925
226.12960116026105, 483.73749999999995
226.18724292965916, 436.55499999999984
226.30503263234226, 404.42499999999995
226.30503263234226, 374.7249999999999
226.30503263234226, 345.02499999999986
226.30503263234226, 304.52499999999986
226.40527918781726, 276.17499999999995
226.4178100072516, 239.7249999999999
226.4178100072516, 210.02499999999986
226.4178100072516, 180.32499999999982
226.4178100072516, 150.625
226.4178100072516, 120.92499999999995
226.42616388687452, 74.57500000000005
226.53058738216097, 48.024999999999864